state,x,y
Abia,-52,-150
Adamawa,150,16
Akwa Ibom,-43,-191
Anambra,-80,-131
Bauchi,15,58
Bayelsa,-135,-188
Benue,-24,-75
Borno,184,130
Cross River,-16,-154
Delta,-132,-156
Ebonyi,-37,-120
Edo,-142,-116
Ekiti,-158,-63
Enugu,-63,-102
Gombe,91,74
Imo,-81,-153
Jigawa,18,145
Kaduna,-72,69
Kano,-29,116
Katsina,-62,160
Kebbi,-215,106
Kogi,-102,-61
Kwara,-237,9
Lagos,-247,-115
Nasarawa,-60,-33
Niger,-169,28
Ogun,-252,-91
Ondo,-176,-101
Osun,-193,-67
Oyo,-246,-50
Plateau,10,11
Rivers,-92,-180
Sokoto,-176,191
Taraba,48,-49
Yobe,96,162
Zamfara,-130,139
